product_name,review,rating
Perfume,"The fragrance is amazing and lasts all day. Packaging was also beautiful.",5
Perfume,"Smells good at first but fades within an hour. Too expensive for the quality.",2
Perfume,"Bottle design is nice and the scent is fresh. Worth buying.",4
Perfume,"Delivery was late and the perfume leaked a little. Very disappointing.",1
Perfume,"I liked the fragrance and the texture of the mist feels premium.",5
Moisturizer,"This moisturizer keeps my skin soft and hydrated for hours.",5
Moisturizer,"Good product but the price is slightly high for the quantity.",3
Moisturizer,"Texture is smooth and non-sticky, but the smell is not great.",3
Moisturizer,"Caused small breakouts on my skin, so I stopped using it.",1
Moisturizer,"Absorbs quickly and works really well for dry skin.",4
Shampoo,"My hair feels smooth and clean after every wash.",5
Shampoo,"The fragrance is pleasant but it made my hair dry.",2
Shampoo,"Affordable and works well, though packaging could be better.",4
Shampoo,"Terrible cap quality and delivery was poor, but shampoo itself is okay.",2
Shampoo,"Very good texture, nice smell, and reduced hair fall a bit.",5